created_at=>2010-12-28 20:41:00 UTC,title=>Brand architecture chart,updated_at=>2010-12-28 23:37:17 UTC,id=>67,day=>,upload_file_name=>fp_16_02_01_brand_architecture_chart.jpg,upload_file_size=>6073,upload_content_type=>image/jpeg,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_16_02_01_brand_architecture_chart.jpg,tags=>Day 8; 
created_at=>2010-12-28 20:41:00 UTC,title=>Skadden brand,updated_at=>2011-02-03 04:47:14 UTC,id=>68,day=>16,upload_file_name=>fp_16_02_02_Skadden_brand.jpg,upload_file_size=>31265,upload_content_type=>image/jpeg,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_16_02_02_Skadden_brand.jpg,tags=>Day 8; Unit 16
created_at=>2010-12-28 20:41:01 UTC,title=>Gum barack,updated_at=>2011-02-03 04:47:14 UTC,id=>69,day=>16,upload_file_name=>fp_16_03_01_5gum_barack.jpg,upload_file_size=>16129,upload_content_type=>image/jpeg,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_16_03_01_5gum_barack.jpg,tags=>Day 8; Unit 16
created_at=>2010-12-28 20:41:01 UTC,title=>Gum iphone,updated_at=>2011-02-03 04:47:14 UTC,id=>70,day=>16,upload_file_name=>fp_16_03_01_5gum_iphone.jpg,upload_file_size=>9924,upload_content_type=>image/jpeg,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_16_03_01_5gum_iphone.jpg,tags=>Day 8; Unit 16
created_at=>2010-12-28 20:41:01 UTC,title=>Gum iphone,updated_at=>2011-01-04 12:14:12 UTC,id=>71,day=>,upload_file_name=>fp_16_03_01_5gum_iphone.png,upload_file_size=>163678,upload_content_type=>image/png,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_16_03_01_5gum_iphone.png,tags=>Day 8; 
created_at=>2010-12-28 20:41:01 UTC,title=>World wide rave cover,updated_at=>2011-02-03 04:47:14 UTC,id=>72,day=>16,upload_file_name=>fp_16_04_01_World_Wide_Rave_cover.jpg,upload_file_size=>64363,upload_content_type=>image/jpeg,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_16_04_01_World_Wide_Rave_cover.jpg,tags=>Day 8; Unit 16
created_at=>2010-12-28 20:41:01 UTC,title=>Four way win chart,updated_at=>2011-02-03 04:47:13 UTC,id=>73,day=>38,upload_file_name=>fp_38_02_03_Four_Way_Win_Chart.jpg,upload_file_size=>78239,upload_content_type=>image/jpeg,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_38_02_03_Four_Way_Win_Chart.jpg,tags=>Day 19; Unit 38; Evaluating Yourself
created_at=>2011-01-03 13:29:43 UTC,title=>Coke pepsi chart,updated_at=>2011-02-03 04:47:14 UTC,id=>74,day=>16,upload_file_name=>fp_16_01_01_coke_pepsi_chart.jpg,upload_file_size=>26104,upload_content_type=>image/jpeg,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_16_01_01_coke_pepsi_chart.jpg,tags=>Day 8; Unit 16
created_at=>2011-01-03 14:53:32 UTC,title=>Nano,updated_at=>2011-01-03 15:48:16 UTC,id=>75,day=>,upload_file_name=>fp_01_01_02_Nano.jpg,upload_file_size=>141633,upload_content_type=>image/jpeg,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_01_01_02_Nano.jpg,tags=>Day 8; 
created_at=>2011-01-03 14:53:32 UTC,title=>Teamwork,updated_at=>2011-02-03 04:47:14 UTC,id=>76,day=>4,upload_file_name=>fp_01_04_01_teamwork.jpg,upload_file_size=>1713847,upload_content_type=>image/jpeg,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_01_04_01_teamwork.jpg,tags=>Day 2; Unit 4; The Science Behind Effective Teams
created_at=>2011-01-03 14:53:32 UTC,title=>Small car,updated_at=>2011-01-03 14:53:32 UTC,id=>77,day=>,upload_file_name=>fp_02_01_01_small_car.jpg,upload_file_size=>61250,upload_content_type=>image/jpeg,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_02_01_01_small_car.jpg,tags=>Day 2; 
created_at=>2011-01-03 15:14:19 UTC,title=>Tiny car,updated_at=>2011-01-10 12:48:13 UTC,id=>78,day=>,upload_file_name=>fp_01_02_01_tiny_car.jpg,upload_file_size=>5074618,upload_content_type=>image/jpeg,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_01_02_01_tiny_car.jpg,tags=>Day 2; 
